title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
3100: Run and Become,N/A,N/A,"$66,700",Illumine Films,"August 17, 2018",Documentary,1 hrs. 19 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33 &amp; Beyond,N/A,N/A,"$16,300",Gathr Films,"October 13, 2017",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
350 Days - Legends. Champions. Survivors.,N/A,N/A,"$48,600",Fathom,"July 12, 2018",Documentary,2 hrs. 5 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3:10 to Yuma (2007),James Mangold,N/A,"$70,359,100",Lionsgate,"September 7, 2007",Western,1 hrs. 57 min.,R,$55 million,"$70,016,220",Russell Crowe,Christian Bale,Ben Foster,Alan Tudyk,Logan Lerman,Luke Wilson*,Ryan Kavanaugh,Cathy Konrad,N/A,N/A,N/A,N/A,N/A,N/A,Marco Beltrami,N/A
The 3rd Animation Celebration,N/A,N/A,"$2,752,900",EXP Ent.,"December 21, 1990",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"4 Months, 3 Weeks, 2 Days",N/A,N/A,"$1,506,900",IFC,"January 25, 2008",Foreign,1 hrs. 53 min.,Unrated,N/A,"$9,840,338",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 40-Year-Old Virgin,Judd Apatow,N/A,"$154,185,100",Universal,"August 19, 2005",Comedy,1 hrs. 56 min.,R,$26 million,"$177,378,645",Steve Carell,Paul Rudd,Seth Rogen,Elizabeth Banks,Leslie Mann,Kat Dennings,Judd Apatow,Shauna Robertson,Seth Rogen,Clayton Townsend,N/A,N/A,Judd Apatow,N/A,Lyle Workman,N/A
4:44: Last Day on Earth,N/A,N/A,"$20,300",IFC,"March 23, 2012",Fantasy Drama,1 hrs. 21 min.,R,N/A,"$17,801",Willem Dafoe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 4th Animation Celebration,N/A,N/A,"$394,400",EXP Ent.,"April 1, 1992",Animation,1 hrs. 28 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 Broken Cameras,N/A,N/A,"$123,800",Kino Lorber,"May 30, 2012",Foreign,1 hrs. 30 min.,Unrated,N/A,"$109,983",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 Flights Up,N/A,N/A,"$1,081,200",Focus World,"May 8, 2015",Drama,1 hrs. 32 min.,PG-13,N/A,"$1,020,921",Morgan Freeman,Diane Keaton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5x2,N/A,N/A,"$181,400",ThinkFilm,"June 10, 2005",Foreign,1 hrs. 30 min.,R,N/A,"$7,444,906",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6 Souls,Mars Marlind,Bjorn Stein,N/A,Radius-TWC,"April 5, 2013",Horror Thriller,1 hrs. 52 min.,R,N/A,"$851,517",Julianne Moore,Jonathan Rhys Meyers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
