budget,action,adventure,fantasy,science fiction,comedy,crime,drama,mystery,thriller,romance,war,horror,animation,family,western,history,music,tv movie,documentary,foreign,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,353595,3.725,1,1,2,25,8,2015,0,77,Lego DC Comics Super Heroes: Justice League – Attack of the Legion of Doom!,6.4,36,6.999137242370986
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,360603,3.968,3,1,5,27,11,2015,0,84,Crown for Christmas,6.5,56,6.998882503192848
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,264337,4.618,5,0,5,16,1,2015,0,83,Spare Parts,7,87,7.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289716,2.839,3,1,5,09,1,2015,0,119,The World Made Straight,5.6,25,6.998601398601399
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,296065,5.42,1,1,6,25,10,2014,0,88,Last Shift,5.8,224,6.989343482397716
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,337029,2.287,3,2,6,29,8,2015,0,89,Frankenstein,5.9,46,6.99797971732013
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,317952,5.261,3,2,5,03,7,2015,0,100,Cartel Land,7.3,219,7.002605178635156
20000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325358,6.681,2,1,4,05,3,2015,0,99,Superfast!,4.8,168,6.985314685314686
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272548,5.716,3,1,6,14,3,2015,0,107,Moonwalkers,6.2,163,6.994817788022096
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,340275,4.878,2,1,5,04,12,2015,0,127,Chi-Raq,5.6,88,6.995089285714286
5300000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309887,2.728,2,1,5,06,3,2015,0,85,Bad Asses on the Bayou,5.8,56,6.997318007662836
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,302429,6.377,3,1,5,23,1,2015,13603453,99,Strange Magic,6.3,159,6.995576135776462
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,293771,5.449,4,1,5,27,3,2015,0,118,Dead Rising: Watchtower,5,191,6.984835854074868
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,323373,6.071,4,1,5,28,8,2015,0,86,Deathgasm,6.2,280,6.99113924050633
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,323027,7.597,4,1,2,28,7,2015,0,76,Justice League: Gods and Monsters,6.9,233,6.999076606031784
13000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,297806,4.758,2,1,5,05,2,2016,1646788,123,I Saw the Light,6,84,6.996651251793972
